magic,baseline_final,baseline_level1,no_pseudo_final,no_pseudo_level1,p09_final,p09_level1,p099_final,p099_level1
114,0.9602301341431777,0.9616036137775269,0.9602301341431777,0.9616036137775269,0.9659682268377922,0.9612220916568743,0.9613747005051352,0.9614662658140919
115,0.9592870658609535,0.9610114142708905,0.9592870658609535,0.9610114142708905,0.9584477812366476,0.9588292742476958,0.9609198559482389,0.961316608679729
116,0.9439620309185526,0.9442672486150747,0.9439620309185526,0.9442672486150747,0.9441604224212918,0.946113815679033,0.944892944892945,0.9447555969295098
117,0.9519166208875053,0.9495971433803334,0.9519166208875053,0.9495971433803334,0.9500091558322652,0.9504516877250808,0.950451687725081,0.950421168284197
118,0.9555065269350984,0.9548477048477049,0.9555065269350984,0.9548477048477049,0.9554758840473127,0.9552460623889195,0.9547404547404548,0.9545872403015261
119,0.952392578125,0.9484100341796875,0.952392578125,0.9484100341796875,0.9459686279296875,0.9476318359375,0.94854736328125,0.948394775390625
120,0.9518772893772894,0.9500610500610501,0.9518772893772894,0.9500610500610501,0.95,0.9478785103785103,0.9492063492063493,0.9490231990231991
121,0.94287109375,0.9424591064453125,0.94287109375,0.9424591064453125,0.9435272216796875,0.9450225830078125,0.9433441162109375,0.943359375
122,0.9376678466796875,0.9350128173828125,0.9376678466796875,0.9350128173828125,0.933624267578125,0.93304443359375,0.93365478515625,0.9338531494140625
123,0.9428253173828125,0.9425048828125,0.9428253173828125,0.9425048828125,0.9425506591796875,0.9428558349609375,0.943023681640625,0.9425506591796875
124,0.9643854428931106,0.9660791943236439,0.9643854428931106,0.9660791943236439,0.9652857251850157,0.9644769970244907,0.9651026169222552,0.9655756466010528
125,0.9524223697261005,0.9528648813611047,0.9524223697261005,0.9528648813611047,0.9539787899595635,0.9541008621347371,0.9536430914778363,0.9539177538719769
126,0.9463064713064714,0.944368131868132,0.9463064713064714,0.944368131868132,0.9457570207570208,0.9442155067155067,0.9444291819291819,0.9443986568986569
127,0.9396641221374046,0.940854961832061,0.9396641221374046,0.940854961832061,0.9421374045801527,0.9381526717557251,0.9402900763358779,0.9393587786259541
128,0.9391382351152466,0.9400352733686067,0.9391382351152466,0.9400352733686067,0.9434105698473514,0.941023535851122,0.9398376208721035,0.9399440491394515
129,0.9514194139194139,0.9494352869352869,0.9514194139194139,0.9494352869352869,0.958592796092796,0.9500305250305249,0.951098901098901,0.9494352869352869
130,0.923736572265625,0.92205810546875,0.923736572265625,0.92205810546875,0.9244537353515625,0.9224853515625,0.9232177734375,0.9228363037109375
131,0.95599365234375,0.956024169921875,0.95599365234375,0.956024169921875,0.9552459716796875,0.955535888671875,0.9555816650390625,0.9554290771484375
132,0.9384271643968871,0.9380471789883269,0.9384271643968871,0.9380471789883269,0.9390351410505836,0.9405398832684824,0.9388375486381322,0.9391871352140078
133,0.9594091436244888,0.9587377159250442,0.9594091436244888,0.9587377159250442,0.9557162912775438,0.9556857718366599,0.95687603003113,0.9569370689128975
134,0.9292133974212253,0.928282597085527,0.9292133974212253,0.928282597085527,0.9293202105745022,0.926359960326543,0.9290150301365683,0.9287556267643244
135,0.951552568352544,0.9502144095374229,0.951552568352544,0.9502144095374229,0.954700282838113,0.9512332349989355,0.9494388856786594,0.9491347586752228
136,0.9481016907770249,0.9481016907770249,0.9481016907770249,0.9481016907770249,0.9477812366477446,0.9487425990355856,0.9484679240676311,0.9484526643471891
137,0.9478340173278614,0.9454020367837058,0.9478340173278614,0.9454020367837058,0.9490044079647363,0.9454476364189086,0.9458276333789329,0.945250037999696
138,0.9414907420127917,0.9420707972706874,0.9414907420127917,0.9420707972706874,0.943704110760025,0.9432767016226282,0.9423150310634856,0.9419181511501884
139,0.9350635528796448,0.9336495773277382,0.9350635528796448,0.9336495773277382,0.9277352064708386,0.927552758012528,0.932858967341726,0.9330718238764216
140,0.9527306452593809,0.9538709481238217,0.9527306452593809,0.9538709481238217,0.9569877759532933,0.9561667578908957,0.9545855379188711,0.9545855379188712
141,0.9495849609375,0.9507293701171875,0.9495849609375,0.9507293701171875,0.9583892822265625,0.9545440673828125,0.9521484375,0.9516754150390625
142,0.9667353322652018,0.9678187228198672,0.9667353322652018,0.9678187228198672,0.966170748455024,0.9660486762798505,0.9674830243381399,0.9674677653162432
143,0.9672083619439994,0.9645227740901807,0.9672083619439994,0.9645227740901807,0.9672083619439994,0.9648432135500115,0.9649805447470817,0.9647821774624246
144,0.9430076335877862,0.9410992366412214,0.9430076335877862,0.9410992366412214,0.9452671755725189,0.9431908396946563,0.9418625954198474,0.9412824427480915
145,0.9598638729073511,0.9533474750866056,0.9598638729073511,0.9533474750866056,0.9511499076716468,0.9487081660994705,0.9529354311963008,0.9528133441176919
146,0.9482871747920958,0.949538414587625,0.9482871747920958,0.949538414587625,0.9492942702372779,0.946822308690013,0.9482871747920959,0.9481956206607156
147,0.9571498605876765,0.9548365352207616,0.9571498605876765,0.9548365352207616,0.9498728437049975,0.95198700860986,0.9543922541900297,0.9545914146520821
148,0.9535353842412452,0.9509058852140077,0.9535353842412452,0.9509058852140077,0.9497507295719844,0.948261186770428,0.9501915126459144,0.9498875243190661
149,0.9535980224609375,0.9491119384765625,0.9535980224609375,0.9491119384765625,0.94940185546875,0.9484405517578125,0.9508819580078125,0.9496612548828125
150,0.950191570881226,0.9499939183847229,0.950191570881226,0.9499939183847229,0.9530043179468467,0.9506172839506174,0.9499635103083378,0.9498874901173752
151,0.9393620268620269,0.9405830280830281,0.9393620268620269,0.9405830280830281,0.9425976800976801,0.9422619047619047,0.9417124542124541,0.9417277167277167
152,0.9331959706959707,0.9324633699633701,0.9331959706959707,0.9324633699633701,0.9294108669108668,0.931074481074481,0.9316849816849817,0.9318376068376069
153,0.9428854810406654,0.9417563134203097,0.9428854810406654,0.9417563134203097,0.9429617761501488,0.9415579461356527,0.9422903791866941,0.9425040054932479
154,0.9387197680628672,0.9383840695811398,0.9387197680628672,0.9383840695811398,0.9420614938582438,0.9405508506904707,0.9383077744716564,0.9383993286030367
155,0.939339129377432,0.9376671935797666,0.939339129377432,0.9376671935797666,0.9365728356031129,0.9381535749027237,0.9380927772373542,0.937758390077821
156,0.9377442002442002,0.9384615384615385,0.9377442002442002,0.9384615384615385,0.9361111111111111,0.9385225885225885,0.9393315018315018,0.9398504273504273
157,0.9552890191051701,0.9541750595129097,0.9552890191051701,0.9541750595129097,0.9559146676432887,0.95608252456815,0.9541750595129098,0.9546023316852836
158,0.9539919428676066,0.9563419398156627,0.9539919428676066,0.9563419398156627,0.9549075260941221,0.95608252456815,0.955701031557102,0.9554721357504731
159,0.9381704432745861,0.9384908827344167,0.9381704432745861,0.9384908827344167,0.9381551842526894,0.9368123903257802,0.9378957808804456,0.937071793698024
160,0.9515009080226471,0.9506615593572115,0.9515009080226471,0.9506615593572115,0.9520045172219084,0.9467395119569033,0.9515466906771255,0.9509057335144292
161,0.9592490842490842,0.9575244200244201,0.9592490842490842,0.9575244200244201,0.9589285714285714,0.9590964590964591,0.9577686202686203,0.9578601953601953
162,0.9386892500190738,0.9338216220340276,0.9386892500190738,0.9338216220340276,0.9337453269245442,0.9334859235523003,0.9342183566033417,0.9339589532310979
163,0.9521214896214896,0.9501831501831501,0.9521214896214896,0.9501831501831501,0.9477716727716727,0.9445360195360195,0.9482448107448107,0.948672161172161
164,0.9365195629616065,0.9351309284013917,0.9365195629616065,0.9351309284013917,0.9408075444057865,0.9376640419947506,0.9352072270036013,0.9350241103582981
165,0.9291361416361417,0.9300518925518926,0.9291361416361417,0.9300518925518926,0.9267399267399268,0.9251831501831502,0.930952380952381,0.9305402930402931
166,0.9602636879692364,0.9590581700543246,0.9602636879692364,0.9590581700543246,0.9614386864432642,0.9604773240554233,0.960141610205701,0.959927974119514
167,0.9391552563691592,0.9403458961090504,0.9391552563691592,0.9403458961090504,0.9419028865381386,0.9400100746439529,0.9388499641281616,0.9391094625330096
168,0.9401300453932033,0.9399460188933872,0.9401300453932033,0.9399460188933872,0.9430284627653048,0.9416635995583363,0.9404674273095325,0.9399920255183414
169,0.9578068729780871,0.9519013611670634,0.9578068729780871,0.9519013611670634,0.955487395470915,0.9501464933162423,0.9521149972532503,0.9517487639626442
170,0.9389564606955911,0.9380560684908512,0.9389564606955911,0.9380560684908512,0.9425427686297252,0.9424359424359424,0.9400552444030704,0.940284157675462
171,0.930739299610895,0.9314717326619364,0.930739299610895,0.9314717326619364,0.9304036011291676,0.9261463340199894,0.9317921721217669,0.9306172274357214
172,0.9589971311725569,0.9595312213880243,0.9589971311725569,0.9595312213880243,0.960919855948239,0.9602636879692363,0.9598364157968626,0.959744857474211
173,0.958432521516206,0.9537477873405359,0.958432521516206,0.9537477873405359,0.9544039553195386,0.9550448635780993,0.9546023316852835,0.9546175914057254
174,0.9601985476606306,0.9595551061678462,0.9601985476606306,0.9595551061678462,0.9604436682293104,0.9605968685847349,0.9592793455280817,0.9595244660967612
175,0.9506462984723854,0.9493338623773406,0.9506462984723854,0.9493338623773406,0.947761991240252,0.947899339203687,0.9494101668014711,0.9495780365345584
176,0.9493987670145884,0.9498870780687299,0.9493987670145884,0.9498870780687299,0.9517335042422024,0.9529848013184399,0.9509094793383386,0.951016297381432
177,0.9361484578875884,0.9360263708089795,0.9361484578875884,0.9360263708089795,0.9327758023410198,0.9361942405420667,0.93520228302837,0.935644848688327
178,0.9399337515837034,0.9421013264947873,0.9399337515837034,0.9421013264947873,0.9458411564470088,0.9443452244661202,0.9427271755888326,0.9426966463647327
179,0.922404321552829,0.918177378990417,0.922404321552829,0.918177378990417,0.9269822376854054,0.9234725019837636,0.9195965329915157,0.919306598303119
