magic,full_ts_s2,full_ts_s3,full_ts_s4,full_ts_reg0.3_s1,lean_s1,lean_s2,lean_s3,lean_s4,baseline_final,baseline_qda_avg4
263,0.9510055430848872,0.95141020355185,0.950661963443126,0.9498984531281016,0.9511506100447418,0.9486921068303633,0.951471284377052,0.9454395528883596,0.9525096584054852,0.9547772840411074
264,0.9373359580052494,0.9556857718366599,0.9555102850515778,0.9479414637123849,0.9432872489775987,0.9357413172190685,0.9519471403283891,0.9535723005554537,0.9518555820057377,0.9464536409692975
265,0.960971498620901,0.9587496169169476,0.9594544897333742,0.9559454489733376,0.9554627643273063,0.9596230462764327,0.9566579834508122,0.957577382776586,0.9610787618755746,0.9604198590254368
266,0.9320266825418633,0.9308055135778724,0.932057211765963,0.9325075178214346,0.9339194944360489,0.9356291309856359,0.9352169864602891,0.9320877409900628,0.9293706400451832,0.9338126421516998
267,0.9361075505096746,0.9387169627052433,0.9448818897637796,0.9388237807483367,0.9396935848135264,0.9385872550814869,0.9424937435146188,0.9470640297869743,0.9472166269913935,0.9474150033571385
268,0.9294117647058823,0.9312275883115891,0.9384832532234684,0.9496070801861599,0.9517509727626459,0.9311894407568475,0.932188906691081,0.939986266880293,0.9463492790112155,0.9465476462958725
269,0.9422751201647974,0.9441214618142977,0.9329823758297093,0.9515831235217822,0.9503471427481498,0.9421225299458305,0.9431143663691158,0.9353780422674907,0.9493553063248645,0.9483710994125276
270,0.933187806372549,0.9293504901960785,0.9237515318627451,0.9238204656862744,0.9294270833333333,0.9369178921568628,0.9325597426470589,0.9296262254901959,0.934298406862745,0.9335094975490196
271,0.9505667892156863,0.9531556372549019,0.9557215073529411,0.9538449754901962,0.9550781249999999,0.9496323529411763,0.9545726102941177,0.9536305147058823,0.9526501225490195,0.9471813725490195
272,0.9537139179996323,0.9440843905129619,0.9490408776123062,0.9474474474474475,0.9499371820800392,0.9566096708953851,0.9467886253600539,0.9506802721088436,0.9457161242875529,0.9492553778268064
273,0.9269820038910507,0.9336545476653697,0.9330693701361867,0.9267464129377432,0.9288667315175098,0.9270124027237354,0.9306602626459144,0.9314506322957198,0.9266932149805449,0.9336545476653697
274,0.9457211743880852,0.9580433986449368,0.9518403222852957,0.9485137032289568,0.9469648416041018,0.9479109442715009,0.9568836598913508,0.9501464933162423,0.9461179271195752,0.9465604590123909
275,0.9285103785103787,0.9423992673992674,0.9507402319902319,0.9417048229548229,0.9461004273504273,0.9320818070818071,0.9421703296703297,0.9528693528693529,0.927930402930403,0.9308150183150183
276,0.9207413489022683,0.931353767560664,0.9296053031685216,0.9286930608769689,0.9283129599221553,0.9218360396521316,0.9318555008210181,0.9291795900991303,0.9343337590464028,0.9349419205741045
277,0.9372557997557998,0.9408653846153846,0.9431929181929182,0.9402090964590963,0.9396214896214896,0.9334783272283272,0.9425824175824176,0.9425137362637362,0.9362484737484738,0.936141636141636
278,0.9555189204866359,0.9582131245134405,0.9674863763337453,0.9572590862603227,0.9583276091038146,0.9558700065637832,0.9586329013448124,0.9662652073697546,0.9670589671963488,0.9677306101265437
279,0.9618711050311598,0.9542483660130718,0.9573491412068704,0.958511931904545,0.9599179206566348,0.9618939048487614,0.9567791457668339,0.9587171302629578,0.9522875816993465,0.9562851497188023
280,0.9315382149562669,0.9351253987879897,0.9421394880249119,0.9277754880859702,0.9316145380165163,0.9354841171711621,0.9362244508555815,0.9452229396589886,0.9427577048129322,0.9355680725374365
281,0.961394674601358,0.9570153353170061,0.9531395437552452,0.958854047455558,0.9586480506599527,0.95902952620737,0.9570458533607996,0.9525825894560158,0.9610284580758373,0.9574959945067522
282,0.9449933122568093,0.9373024075875486,0.9438077577821011,0.9486183730544746,0.9468020428015562,0.9463308608949416,0.9391719357976653,0.9430553866731519,0.9501611138132295,0.9463916585603114
